Unnamed: 0,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
921,7846303,Great 1 Bedroom & Living Room,41346458,Yair,Vadhana,13.72875,100.57519,Entire home/apt,3463,180,0,,0.0,1,365,0
927,7864274,High Unit! TOP Location! Sub Penthouse 41. Floor!,11695903,Dan,Ratchathewi,13.75086,100.5555,Entire home/apt,3490,7,81,2020-03-05,0.91,4,180,0
928,7876617,Cozy Room 5 min from Sathorn by car,4154759,Mimi,Sathon,13.71674,100.53322,Private room,1550,1,8,2022-12-11,0.09,4,358,2
940,7281268,High Floor Unit with Excellent View,15257097,Thitinatt,Khlong Toei,13.72601,100.57212,Entire home/apt,4286,60,1,2016-03-23,0.01,1,364,0
941,7282157,Greenview Suite (One Bedroom),34958023,Greenview,Vadhana,13.72763,100.59013,Private room,800,30,0,,0.0,4,90,0
943,7876711,1 Bedroom:Ceil By Sansiri(Ekamai12),40650777,Knoon,Vadhana,13.732,100.58788,Private room,2628,2,0,,0.0,1,365,0
957,7332377,A quiet recluse in the midst of modern convenience,37861849,Sirinthorn,Huai Khwang,13.78862,100.57471,Entire home/apt,510,30,8,2022-12-05,0.2,1,294,4
968,7887692,Phetchaburi MRT/Airport rail link,41578204,Piraya,Huai Khwang,13.7671,100.58678,Private room,1000,10,2,2016-05-12,0.02,2,301,0
970,7041159,It's your Room at BTS Phra Khanong,5632163,Koj & Pear,Khlong Toei,13.71438,100.58864,Entire home/apt,1200,30,25,2022-10-21,0.28,1,328,3
976,7351289,1 min from BTS-Colonial building,11138134,Thanwarat,Sathon,13.71767,100.5164,Private room,1554,1,9,2020-01-02,0.11,4,179,0
978,7890624,Fully furnished 2 bedrooms,41445233,Worakit,Vadhana,13.73636,100.585,Entire home/apt,2474,180,0,,0.0,1,365,0
996,7075345,BKK Thonglor 18 @ handy location,36852418,Sunny,Vadhana,13.73375,100.58522,Entire home/apt,2643,2,6,2018-10-01,0.07,1,365,0
1000,7423504,Stylish double room with bathtub near Tong Lo BTS,32317869,Chet,Vadhana,13.73005,100.58158,Private room,900,1,8,2020-03-02,0.1,9,356,0
1005,7081827,"Comfy 70 sqm 2 Beds,2 Baths in Sathorn,Lumpini MRT",15214203,Bee,Sathon,13.72022,100.54906,Entire home/apt,2995,1,8,2022-09-06,0.09,29,333,1
1006,7115674,Immaculate duplex/private garden,36324473,Premika,Vadhana,13.73865,100.5732,Entire home/apt,2900,2,111,2022-03-30,1.22,5,73,1
1007,7974518,Townhouse fully renovated,22395307,Marc,Vadhana,13.7324,100.5784,Private room,990,2,1,2016-01-02,0.01,1,365,0
1012,7136142,Cozy Clean Convenient 1min to BTS,10246374,Arika,Khlong Toei,13.72319,100.57909,Private room,1899,3,0,,0.0,3,365,0
1013,7143355,Parkland Grand Asoke Petchaburi 275,37408973,Suchalee,Huai Khwang,13.7479,100.56829,Entire home/apt,1080,23,34,2022-10-01,0.37,2,34,4
1015,7153111,"2BRNew,Luxury,Modern,BestLocation",36674059,Ploy,Vadhana,13.73121,100.58846,Entire home/apt,3000,90,0,,0.0,1,365,0
1017,7424197,stylish Triple room with bathtub Tong lo Station,32317869,Chet,Vadhana,13.73015,100.5816,Private room,1000,1,6,2020-01-31,0.08,9,356,0
1018,7424353,Stylish Single room near Tong lo Station Sukhumwit,32317869,Chet,Vadhana,13.73015,100.58161,Private room,570,1,58,2022-10-31,0.7,9,356,5
1020,7429682,Live like a local near On-Nut BTS station,38506657,Jenisara,Vadhana,13.71221,100.60177,Private room,950,30,0,,0.0,3,173,0
1027,7453764,Upper Sukhumvit Modern Minimal Life,12180406,Kalorin,Vadhana,13.74497,100.57397,Entire home/apt,2127,7,0,,0.0,1,0,0
1028,7191023,Studio CBD near BTS Chongnonsee,37656628,Beam,Sathon,13.72043,100.53079,Entire home/apt,1900,14,1,2019-02-22,0.02,1,179,0
1033,8457568,CenterBKK-COZY-WIFI-GYM-Pools-BTS,21546515,Suksun,Vadhana,13.73153,100.5764,Entire home/apt,866,28,26,2022-07-09,0.31,3,116,7
1035,8076747,Condo lumpini park rama9-ratchada,42650735,Kanvarathit,Huai Khwang,13.75237,100.57475,Entire home/apt,990,30,0,,0.0,1,364,0
1037,8463542,PARKLAND/APL/MRT/BTS/WIFI/1 BED,43322808,Kotchapan,Huai Khwang,13.74967,100.56452,Entire home/apt,900,28,31,2020-03-03,0.37,1,305,0
1040,8081289,Awesome new condo at rama 9 & Asok,7341593,Titi,Ratchathewi,13.75491,100.56204,Entire home/apt,675,90,0,,0.0,1,0,0
1048,8479452,Cozy 1 BD near Onnuch BTS Station,40698085,Kongkom,Khlong Toei,13.70252,100.59263,Entire home/apt,1200,1,0,,0.0,4,355,0
1052,8479948,Amazin 1 BD near Onnuch BTS Station,40698085,Kongkom,Khlong Toei,13.70443,100.59282,Entire home/apt,1200,1,1,2015-12-30,0.01,4,362,0
1055,8117871,Great location 1 bed condo near MRT,42737012,Padasinee,Ratchathewi,13.74968,100.551,Private room,3800,1,0,,0.0,2,365,0
